"minify_total","responses_200","testStartOffset","bytesOut","gzip_savings","requestsFull","start_epoch","cpu.MarkLoad","connections","base_page_cdn","cpu.EventDispatch","bytesOutDoc","result","final_base_page_request_id","docTime","domContentLoadedEventEnd","image_savings","cpu.ParseHTML","requestsDoc","cpu.CommitLoad","score_cookies","cpu.Layout","score_cdn","cpu.Idle","optimization_checked","image_total","score_minify","gzip_total","responses_404","loadTime","URL","score_combine","score_etags","cpu.PlatformResourceSendRequest","firstLayout","loadEventStart","minify_savings","score_progressive_jpeg","domInteractive","score_gzip","cpu.Paint","score_compress","domContentLoadedEventStart","final_url","cpu.MarkDOMContent","bytesInDoc","score_keep-alive","loadEventEnd","cached","score_cache","responses_other","cpu.UpdateLayerTree","main_frame","fullyLoaded","requests","final_base_page_request","TTFB","cpu.UpdateLayoutTree","bytesIn","test_run_time_ms","browser_version","base_page_dns_server","firstPaint","base_page_ip_ptr","eventName","browserVersion","visualTest","base_page_cname","document_URL","date","domElements","document_origin","browser_name","domComplete","document_hostname","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","render","lastVisualChange","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.firstLayout","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","TTIMeasurementEnd","run","step","domTime","aft","titleTime","domLoading","server_rtt","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.v8.compile","cpu.ScriptWrappableMarkingVisitor::performLazyCleanup","cpu.MajorGC","cpu.EvaluateScript","cpu.BlinkGC.AtomicPhase","LastInteractive","effectiveBps","effectiveBpsDoc",
"-1","1","0","1170","0","3","0","0","3","","1","775","0","AC9BFD9FBBF2A2A4F933D3F6C506C1A9","0","325","0","3","2","0","-1","0","-1","360","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","1","316","326","-1","-1","325","-1","0","-1","325","http://192.168.0.173:8081/50.html","0","280","100","326","0","-1","0","0","D3E8BF39A0DAC240A989904406643DAE","0","3","0","115","0","475","6534","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355572.3298","3","http://192.168.0.173:8081","Chrome","325","192.168.0.173","0","0","0","0","0","0","0","0","31","206","229","230","261","316","325","325","325","326","326","326","931","1","1","0","0","0","0","0","0","0","0","280","2","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","0","0","747","0","2","0","0","2","","0","352","0","","0","47","0","2","1","0","-1","0","-1","59","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","0","41","47","-1","-1","47","-1","0","-1","47","","0","195","-1","47","1","-1","0","0","53E149DC4498F1B15E80A229E92D56AD","0","2","","0","0","390","6119","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355596.3604","3","http://192.168.0.173:8081","Chrome","47","192.168.0.173","0","0","0","0","0","0","0","0","6","28","29","29","35","40","46","46","46","47","47","47","652","1","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","1","0","1170","0","3","0","0","3","","0","775","0","1DE44E3F9966E305A54353475C953E64","0","196","0","6","2","1","-1","1","-1","222","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","1","199","198","-1","-1","196","-1","0","-1","196","http://192.168.0.173:8081/50.html","0","280","100","198","0","-1","0","1","8C7C079BC7B0164BE074DA7D0AD29B3E","0","3","0","54","1","475","6310","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355620.1582","3","http://192.168.0.173:8081","Chrome","198","192.168.0.173","0","0","0","0","0","0","0","0","15","127","141","141","159","198","196","196","196","197","198","198","848","2","1","0","0","0","0","0","0","0","0","280","2","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","0","0","747","0","2","0","0","2","","0","352","0","","0","210","0","8","1","1","-1","1","-1","249","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","1","214","213","-1","-1","209","-1","0","-1","210","","0","195","-1","213","1","-1","0","1","99E21A1F5BA4E124DC0F48D32FEA319C","0","2","","0","1","390","6551","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355644.1885","3","http://192.168.0.173:8081","Chrome","212","192.168.0.173","0","0","0","0","0","0","0","0","22","151","158","158","176","213","209","210","210","212","213","213","876","2","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","1","0","1170","0","3","0","0","3","","0","775","0","E332F1FC5A7C32C636429D92B67BBA0D","0","183","0","7","2","0","-1","1","-1","219","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","1","187","184","-1","-1","182","-1","0","-1","182","http://192.168.0.173:8081/50.html","0","280","100","185","0","-1","0","1","9D3102843FDC835014401AB6300D9962","0","3","0","51","1","475","6528","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355668.6596","3","http://192.168.0.173:8081","Chrome","184","192.168.0.173","0","0","0","0","0","0","0","0","19","110","124","124","145","186","181","182","182","184","184","185","842","3","1","0","0","0","0","0","0","0","0","280","2","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","0","0","747","0","2","0","0","2","","0","352","0","","0","163","0","14","1","1","-1","0","-1","186","1","0","-1","0","2","0","http://192.168.0.173:8081/50.html","-1","-1","1","164","164","-1","-1","163","-1","0","-1","163","","0","195","-1","164","1","-1","0","1","A63D6D1FC2B18009F0C5D38BCAD4E957","0","2","","0","0","390","6531","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/50.html","1553355692.6281","3","http://192.168.0.173:8081","Chrome","164","192.168.0.173","0","0","0","0","0","0","0","0","15","103","108","108","128","164","162","162","162","163","163","163","831","3","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_2H_2","","","","","","","","",
"-1","1","0","1174","0","3","0","0","3","","0","778","0","D98DA76A83552CCD92A8CA33BD638026","0","207","0","5","2","2","-1","0","-1","313","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","209","208","-1","-1","206","-1","0","-1","207","http://192.168.0.173:8081/100.html","0","281","100","208","0","-1","0","1","564BACC849EBAC982153334A844A7040","0","3","0","50","0","476","6670","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355718.1233","3","http://192.168.0.173:8081","Chrome","207","192.168.0.173","0","0","0","0","0","0","0","0","21","129","140","140","164","208","207","207","207","208","208","208","855","1","1","0","0","0","0","0","0","0","0","281","2","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","0","0","750","0","2","0","0","2","","0","354","0","","0","197","0","10","1","1","-1","0","-1","231","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","199","198","-1","-1","197","-1","0","-1","197","","0","195","-1","198","1","-1","0","1","8A0A9C8549F5BFF248CA01BD90F1A2BC","0","2","","0","0","390","6850","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355742.0696","3","http://192.168.0.173:8081","Chrome","198","192.168.0.173","0","0","0","0","0","0","0","0","13","132","138","138","163","198","197","197","197","198","198","198","852","1","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","1","0","1174","0","3","0","0","3","","0","778","0","EE6DD9AD5072C426D5D5C32925A8BD9A","0","279","0","5","2","1","-1","2","-1","329","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","284","280","-1","-1","279","-1","0","-1","279","http://192.168.0.173:8081/100.html","0","281","100","281","0","-1","0","1","F95A8E5908A73BA97B24A94647654B78","0","3","0","70","0","476","6902","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355767.6916","3","http://192.168.0.173:8081","Chrome","280","192.168.0.173","0","0","0","0","0","0","0","0","15","215","226","227","242","283","279","280","280","281","281","281","948","2","1","0","0","0","0","0","0","0","0","281","2","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","0","0","750","0","2","0","0","2","","0","354","0","","0","195","0","5","1","1","-1","0","-1","232","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","197","196","-1","-1","195","-1","0","-1","195","","0","195","-1","196","1","-1","0","1","03E806FFE0B62702F46D703D179733A8","0","2","","0","0","390","6658","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355792.3936","3","http://192.168.0.173:8081","Chrome","196","192.168.0.173","0","0","0","0","0","0","0","0","25","120","130","130","156","197","195","195","195","196","196","196","851","2","1","0","0","0","0","0","0","0","0","195","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
"-1","1","0","1174","0","3","0","0","3","","0","778","0","BEF92C7F81F794216E5F88265737BD70","0","247","0","7","2","1","-1","1","-1","287","1","0","-1","0","2","0","http://192.168.0.173:8081/100.html","-1","-1","1","250","249","-1","-1","246","-1","0","-1","247","http://192.168.0.173:8081/100.html","0","281","100","249","0","-1","0","1","E0BF44F46B4B0B3D2266F0FE95391F66","0","3","0","60","1","476","6982","72.0.3626.105","","0","","Step_1","72.0.3626.105","1","","http://192.168.0.173:8081/100.html","1553355817.5822","3","http://192.168.0.173:8081","Chrome","249","192.168.0.173","0","0","0","0","0","0","0","0","18","173","187","187","211","250","246","246","246","249","249","249","914","3","1","0","0","0","0","0","0","0","0","281","2","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190323_9F_3","","","","","","","","",
