index,TotalSize,Resident,Shared,App_TotalSize,App_Resident,App_Shared,AnonHugePages,Anonymous,KernelPageSize,Locked,MMUPageSize,Private_Clean,Private_Dirty,Pss,Referenced,Rss,Shared_Clean,Shared_Dirty,Swap,SwapPss,App_AnonHugePages,App_Anonymous,App_KernelPageSize,App_Locked,App_MMUPageSize,App_Private_Clean,App_Private_Dirty,App_Pss,App_Referenced,App_Rss,App_Shared_Clean,App_Shared_Dirty,App_Swap,App_SwapPss,Active,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,Dirty,Inactive,KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp
1,560425,20426,17117,313545,26711,18989,0,14692,4956,0,4956,5088,9428,17797,56500,62240,46792,932,17696,8350,0,31888,4560,0,4560,22316,28844,62007,89020,104308,52744,404,6096,367,-1,338276,0,63776,1226092,3478960,94888256,560,-1,30464,498160,58484,2763624,0,0,47872,46792,81548,14980,128340,101240,1283412,2097148,12024,247561408,251658176,256812,0,0
2,560687,20343,17117,322139,30967,23226,0,14384,4980,0,4980,4992,9272,17595,52496,61940,46744,932,18052,8654,0,32128,4660,0,4660,22364,29072,63157,89940,106272,52764,2072,6112,368,-1,310784,0,63792,1192532,3478960,94892416,0,-1,30544,499788,71876,2763624,0,0,48040,46792,81560,16116,128352,92816,1261776,2097148,12024,247561408,251658176,257512,0,0
3,561211,20373,17130,322094,30951,23210,0,14436,5004,0,5004,4992,9324,17647,52800,61992,46744,932,18052,8654,0,32128,4660,0,4660,22360,29076,63157,90032,106272,52764,2072,6112,368,-1,309496,0,63792,1192316,3478960,94890332,744,-1,30608,499120,72156,2763624,0,0,48064,46792,81592,15740,128384,92608,1261856,2097148,12024,247561408,251658176,257260,0,0
4,561211,20309,17134,322094,30948,23211,0,14208,5004,0,5004,5072,9068,17474,57656,61780,46708,932,17936,8495,0,32160,4664,0,4664,22360,29108,63189,90124,106304,52764,2072,6112,368,-1,305832,0,63800,1191708,3478960,94890304,760,-1,30592,499068,75624,2763624,0,0,48068,46792,81612,15632,128404,90440,1261120,2097148,12024,247561408,251658176,257244,0,0
5,561211,20309,17134,322099,30966,23211,0,14208,5004,0,5004,5064,9068,17470,57656,61780,46716,932,17936,8495,0,32160,4664,0,4664,22388,29080,63189,90124,106304,52764,2072,6112,368,-1,304632,0,63812,1191692,3478960,94890392,40,-1,30592,499068,77344,2763624,0,0,48036,46792,81652,15632,128444,91536,1262012,2097148,12024,247561408,251658176,257168,0,0
6,561211,20309,17134,322099,30966,23211,0,14212,5004,0,5004,5064,9072,17474,57660,61784,46716,932,17936,8495,0,32160,4664,0,4664,22388,29080,63189,90124,106304,52764,2072,6112,368,-1,304304,0,63812,1191924,3478960,94890416,764,-1,30608,499120,78128,2763624,0,0,48068,46792,81632,15632,128424,91532,1262036,2097148,12024,247561408,251658176,257168,0,0
7,561211,20309,17134,322104,30967,23211,0,14216,5004,0,5004,5064,9076,17478,57664,61788,46716,932,17936,8495,0,32220,4668,0,4668,22372,29156,63249,90428,106364,52764,2072,6112,368,-1,304504,0,63820,1191920,3478960,94890384,16,-1,30544,499108,77908,2763624,0,0,48052,46792,81616,15632,128408,91532,1262128,2097148,12024,247561408,251658176,257168,0,0
8,561211,20309,17134,322104,31011,23249,0,14220,5004,0,5004,5068,9076,17482,57612,61792,46716,932,17932,8491,0,32244,4668,0,4668,22360,29204,63289,90812,106408,52772,2072,6112,368,-1,304368,0,63820,1191884,3478960,94890400,644,-1,30528,499312,77772,2763624,0,0,48084,46792,81616,15632,128408,91656,1262188,2097148,12024,247561408,251658176,257168,0,0
9,561211,20309,17134,322104,31011,23249,0,14216,5004,0,5004,5060,9080,17478,57580,61788,46716,932,17936,8495,0,32244,4668,0,4668,22400,29164,63289,90692,106408,52772,2072,6112,368,-1,304488,0,63828,1191900,3478960,94890400,64,-1,30544,499312,76636,2763624,0,0,48104,46792,81660,15632,128452,91652,1262196,2097148,12024,247561408,251658176,257168,0,0
10,561211,20308,17134,322032,30996,23234,0,14224,5004,0,5004,5060,9088,17486,57596,61796,46716,932,17936,8495,0,32244,4664,0,4664,22328,29176,63229,90660,106348,52772,2072,6112,368,-1,305660,0,63840,1191932,3478960,94890416,716,-1,30576,499120,75952,2763624,0,0,48116,46792,81704,15632,128496,92052,1262540,2097148,12024,247561408,251658176,257168,0,0
